ip_address,created_by,comment,added_at,duration,blocks_count,expires_at
be17:a720:1a6c:825b:aed3:4ea8:7d1c:6a1b,1,honeypot,2025-04-08T00:25:31.788918,13 hours 37 minutes,200,2025-04-08T14:02:31.788918
131.184.85.162,2,vpn brute forcing,2025-05-21T04:51:14.719767,22 hours 3 minutes,45,2025-05-22T02:54:14.719767
65.126.225.143,5,vpn brute forcing,2025-04-29T03:25:44.169641,24 hours 28 minutes,77,2025-04-30T03:53:44.169641
19.214.35.232,1,honeypot,2025-02-12T09:39:31.120990,47 hours 21 minutes,176,2025-02-14T09:00:31.120990
48.211.16.232,2,honeypot,2025-05-21T11:05:08.613871,32 hours 18 minutes,109,2025-05-22T19:23:08.613871
8e8:c22d:d4f8:bedc:de98:7d55:788f:e060,9,vpn brute forcing,2025-02-01T02:02:30.087564,41 hours 15 minutes,68,2025-02-02T19:17:30.087564
1c76:fa0b:4a4a:8aab:f7cb:f747:323c:8ff0,1,vpn brute forcing,2025-02-26T03:57:04.575360,13 hours 25 minutes,193,2025-02-26T17:22:04.575360
217.152.249.12,1,vpn brute forcing,2025-03-24T16:49:10.755024,10 hours 48 minutes,46,2025-03-25T03:37:10.755024
220.218.37.188,3,vpn brute forcing,2025-01-10T03:04:21.156486,33 hours 32 minutes,6,2025-01-11T12:36:21.156486
e384:21ee:51ce:b8b7:fca9:9045:abf6:8d27,2,vpn brute forcing,2025-02-04T09:07:10.699282,23 minutes,24,2025-02-04T09:30:10.699282
e274:538d:2584:9900:7b84:5353:4e4d:80da,2,honeypot,2025-03-30T19:03:20.131035,31 hours 54 minutes,93,2025-04-01T02:57:20.131035
185.218.17.92,8,vpn brute forcing,2025-01-28T10:27:37.436227,24 hours 40 minutes,15,2025-01-29T11:07:37.436227
1.73.127.221,2,honeypot,2025-05-05T08:33:24.190474,26 hours 12 minutes,70,2025-05-06T10:45:24.190474
792b:b8c8:45ed:b757:8c2c:c385:c43b:ed1d,1,vpn brute forcing,2025-05-01T06:22:20.204037,39 hours 49 minutes,172,2025-05-02T22:11:20.204037
3cd7:3fda:3efd:d79d:a3aa:82a1:d872:36ef,7,honeypot,2025-05-26T20:38:56.387403,46 hours 57 minutes,98,2025-05-28T19:35:56.387403
c516:b295:4096:a2ce:5412:2bf5:3fb0:4c03,4,honeypot,2025-04-30T05:12:28.630268,45 hours 25 minutes,36,2025-05-02T02:37:28.630268
58bc:ea0e:55da:76e:5f45:767e:4f1:a844,10,honeypot,2025-02-01T19:21:56.021053,43 hours 29 minutes,5,2025-02-03T14:50:56.021053
db07:9888:af:c086:8118:3d4c:82aa:d2a7,1,vpn brute forcing,2025-03-13T05:50:00.183242,15 hours 49 minutes,102,2025-03-13T21:39:00.183242
a906:a695:3f6a:9f7a:bfe1:2b5a:e920:a686,2,honeypot,2025-03-10T16:35:26.100409,43 hours 27 minutes,134,2025-03-12T12:02:26.100409
6d0a:dbfe:d145:db2c:533d:83ef:c843:f0f9,2,vpn brute forcing,2025-03-11T18:19:08.958594,26 hours 4 minutes,131,2025-03-12T20:23:08.958594
